campaign_id,advertiser_id,advertiser_name,app_name,vertical,objective,primary_theme,target_age_segment,target_os,start_date,end_date,daily_budget_usd,kpi_goal,campaign_duration_days,hq_region
20073,1001,VantaStyle,VantaStyle Club,ecommerce,purchase,discount,45-54,Android,2026-01-02,2026-02-20,4931,ROAS,50,North America
20074,1002,EarnPath,EarnPath Bank,fintech,signup,trust,45-54,iOS,2026-01-02,2026-02-24,5045,CPA,54,APAC
20075,1003,CloudRoute,CloudRoute Getaway,travel,booking,destination,18-24,Android,2026-01-12,2026-03-10,2767,IPM,58,Europe
20076,1004,SnapMeal,SnapMeal Go,food_delivery,order,combo,45-54,Android,2026-01-07,2026-03-03,3348,IPM,56,Europe
20077,1005,MoonScreen,MoonScreen Stream,entertainment,signup,drama,18-24,Both,2026-01-02,2026-02-27,3855,ROAS,57,Europe
20078,1006,NeonArena,NeonArena Rush,gaming,install,competitive,35-44,Android,2026-01-12,2026-03-05,2786,CTR,53,LATAM
20079,1007,ThreadMark,ThreadMark Store,ecommerce,purchase,product-focus,45-54,Android,2026-01-04,2026-03-04,1599,ROAS,60,Europe
20080,1008,CoinBridge,CoinBridge Wallet,fintech,signup,testimonial,25-34,iOS,2026-01-05,2026-03-09,3748,CPA,64,North America
20081,1009,DriftPass,DriftPass Travel,travel,booking,discount,18-24,Both,2026-01-08,2026-03-06,4076,CTR,58,Europe
20082,1010,BiteRush,BiteRush Eats,food_delivery,order,discount,18-24,Android,2026-01-09,2026-03-13,3447,IPM,64,Europe
20083,1011,FluxStream,FluxStream Stream,entertainment,signup,celebrity,45-54,Both,2026-01-05,2026-03-03,2157,IPM,58,APAC
20084,1012,VoxelRealm,VoxelRealm Legends,gaming,install,competitive,45-54,Both,2026-01-09,2026-02-28,2783,IPM,51,APAC
20085,1013,BoltCart,BoltCart Drops,ecommerce,purchase,product-focus,45-54,Android,2026-01-11,2026-02-26,2424,CPA,47,Europe
20086,1014,VaultRun,VaultRun Pay,fintech,signup,trust,18-24,Android,2026-01-02,2026-02-18,2684,ROAS,48,North America
20087,1015,HorizonHop,HorizonHop Flights,travel,booking,destination,25-34,Android,2026-01-02,2026-02-21,4693,CTR,51,Europe
20088,1016,FreshDash,FreshDash Go,food_delivery,order,discount,35-44,Both,2026-01-04,2026-03-09,5091,IPM,65,APAC
20089,1017,PulsePlay,PulsePlay Stream,entertainment,install,ugc,25-34,Android,2026-01-02,2026-03-06,3767,CTR,64,Europe
20090,1018,StormByte,StormByte Arena,gaming,install,reward,45-54,Both,2026-01-02,2026-03-12,3612,ROAS,70,Europe
20091,1019,ZenDrop,ZenDrop Market,ecommerce,purchase,discount,45-54,iOS,2026-01-21,2026-03-11,3777,CPA,50,North America
20092,1020,NovaPay,NovaPay Pay,fintech,signup,testimonial,18-24,Android,2026-01-14,2026-03-12,2968,CPA,58,Europe
20093,1021,RouteBloom,RouteBloom Travel,travel,booking,discount,18-24,Android,2026-01-14,2026-03-02,2903,ROAS,48,APAC
20094,1022,CraveLoop,CraveLoop Express,food_delivery,order,food-closeup,45-54,Android,2026-01-21,2026-03-31,2354,CTR,70,Europe
20095,1023,NeonCast,NeonCast Stream,entertainment,signup,celebrity,45-54,iOS,2026-01-03,2026-02-19,2923,ROAS,48,North America
20096,1024,GlitchWave,GlitchWave Legends,gaming,install,gameplay,45-54,Android,2026-01-20,2026-04-03,6574,CTR,74,Europe
20097,1025,LuxShelf,LuxShelf Outlet,ecommerce,purchase,product-focus,25-34,Android,2026-01-02,2026-02-27,4040,ROAS,57,North America
20098,1026,ClearLedger,ClearLedger Wallet,fintech,signup,minimalist,45-54,Both,2026-01-11,2026-02-27,2644,ROAS,48,LATAM
20099,1027,WayPoint,WayPoint Travel,travel,booking,wanderlust,45-54,Android,2026-01-15,2026-03-16,2527,IPM,61,APAC
20100,1028,QuickFork,QuickFork Kitchen,food_delivery,order,combo,45-54,iOS,2026-01-06,2026-03-16,2202,ROAS,70,North America
20101,1029,BingeLayer,BingeLayer Plus,entertainment,signup,trailer,18-24,iOS,2026-01-15,2026-03-16,3398,CTR,61,Europe
20102,1030,IronQuest,IronQuest Arena,gaming,install,fantasy,25-34,Both,2026-01-21,2026-04-05,3418,CTR,75,LATAM
20103,1031,CrispBox,CrispBox Club,ecommerce,purchase,ugc,25-34,Android,2026-01-06,2026-03-12,1798,CTR,66,North America
20104,1032,SwiftStack,SwiftStack Invest,fintech,signup,feature-focus,45-54,iOS,2026-01-09,2026-03-10,3534,IPM,61,Europe
20105,1033,NomadLayer,NomadLayer Flights,travel,booking,discount,35-44,iOS,2026-01-13,2026-03-03,2442,CPA,50,North America
20106,1034,PlateSprint,PlateSprint Go,food_delivery,order,urgency,18-24,Both,2026-01-15,2026-03-17,4911,CPA,62,LATAM
20107,1035,StarVault,StarVault Plus,entertainment,install,ugc,25-34,iOS,2026-01-03,2026-03-02,3149,IPM,59,Europe
20108,1000,PixelForge,PixelForge Battle,gaming,install,gameplay,25-34,Both,2026-01-02,2026-02-22,5438,CPA,52,LATAM
20109,1001,VantaStyle,VantaStyle Outlet,ecommerce,purchase,discount,18-24,Android,2026-01-01,2026-02-15,2539,CPA,46,North America
20110,1002,EarnPath,EarnPath Invest,fintech,signup,testimonial,25-34,Both,2026-01-19,2026-03-08,2695,CPA,49,APAC
20111,1003,CloudRoute,CloudRoute Travel,travel,booking,destination,25-34,Android,2026-01-03,2026-03-08,3310,CPA,65,Europe
20112,1004,SnapMeal,SnapMeal Express,food_delivery,order,combo,45-54,Both,2026-01-20,2026-04-03,4313,IPM,74,Europe
20113,1005,MoonScreen,MoonScreen Play,entertainment,install,celebrity,18-24,Android,2026-01-08,2026-02-26,3633,CTR,50,Europe
20114,1006,NeonArena,NeonArena Quest,gaming,install,fantasy,45-54,Both,2026-01-07,2026-03-08,1935,IPM,61,LATAM
20115,1007,ThreadMark,ThreadMark Market,ecommerce,purchase,discount,45-54,Android,2026-01-13,2026-03-25,3178,ROAS,72,Europe
20116,1008,CoinBridge,CoinBridge Cash,fintech,signup,feature-focus,18-24,Android,2026-01-21,2026-03-07,3004,CPA,46,North America
20117,1009,DriftPass,DriftPass Getaway,travel,booking,discount,18-24,Both,2026-01-03,2026-03-16,2565,IPM,73,Europe
20118,1010,BiteRush,BiteRush Bites,food_delivery,order,combo,25-34,Both,2026-01-11,2026-03-15,2375,ROAS,64,Europe
20119,1011,FluxStream,FluxStream Box,entertainment,signup,celebrity,35-44,Android,2026-01-19,2026-04-01,5495,IPM,73,APAC
20120,1012,VoxelRealm,VoxelRealm Arena,gaming,install,gameplay,25-34,Android,2026-01-04,2026-03-08,2600,CPA,64,APAC
20121,1013,BoltCart,BoltCart Market,ecommerce,purchase,discount,18-24,Android,2026-01-03,2026-03-11,2217,CTR,68,Europe
20122,1014,VaultRun,VaultRun Wallet,fintech,signup,feature-focus,18-24,Both,2026-01-07,2026-02-26,3725,CTR,51,North America
20123,1015,HorizonHop,HorizonHop Flights,travel,booking,destination,35-44,iOS,2026-01-21,2026-03-12,3120,CPA,51,Europe
20124,1016,FreshDash,FreshDash Delivery,food_delivery,order,discount,35-44,iOS,2026-01-12,2026-03-26,2902,ROAS,74,APAC
20125,1017,PulsePlay,PulsePlay Now,entertainment,signup,trailer,18-24,Android,2026-01-12,2026-03-12,3918,IPM,60,Europe
20126,1018,StormByte,StormByte Arena,gaming,install,reward,18-24,Android,2026-01-10,2026-03-19,3536,CTR,69,Europe
20127,1019,ZenDrop,ZenDrop Club,ecommerce,purchase,ugc,25-34,Both,2026-01-17,2026-03-10,3383,CPA,53,North America
20128,1020,NovaPay,NovaPay Pay,fintech,signup,minimalist,18-24,Android,2026-01-16,2026-03-26,4177,CPA,70,Europe
20129,1021,RouteBloom,RouteBloom Travel,travel,booking,destination,35-44,Both,2026-01-12,2026-03-03,3292,CPA,51,APAC
20130,1022,CraveLoop,CraveLoop Kitchen,food_delivery,order,food-closeup,18-24,iOS,2026-01-18,2026-03-22,2402,CPA,64,Europe
20131,1023,NeonCast,NeonCast Stream,entertainment,signup,drama,35-44,iOS,2026-01-15,2026-03-22,2625,IPM,67,North America
20132,1024,GlitchWave,GlitchWave Rush,gaming,install,reward,25-34,Both,2026-01-09,2026-03-03,2484,IPM,54,Europe
20133,1025,LuxShelf,LuxShelf Outlet,ecommerce,purchase,ugc,18-24,iOS,2026-01-07,2026-02-28,3207,IPM,53,North America
20134,1026,ClearLedger,ClearLedger Cash,fintech,signup,testimonial,25-34,Android,2026-01-14,2026-03-07,2044,CTR,53,LATAM
20135,1027,WayPoint,WayPoint Trips,travel,booking,destination,45-54,iOS,2026-01-13,2026-03-25,1569,IPM,72,APAC
20136,1028,QuickFork,QuickFork Eats,food_delivery,order,food-closeup,45-54,iOS,2026-01-14,2026-03-21,3074,IPM,67,North America
20137,1029,BingeLayer,BingeLayer Plus,entertainment,signup,trailer,45-54,iOS,2026-01-14,2026-03-06,1867,IPM,52,Europe
20138,1030,IronQuest,IronQuest Rush,gaming,install,reward,18-24,Android,2026-01-21,2026-03-16,1505,ROAS,55,LATAM
20139,1031,CrispBox,CrispBox Outlet,ecommerce,purchase,product-focus,18-24,Both,2026-01-17,2026-03-13,3397,ROAS,56,North America
20140,1032,SwiftStack,SwiftStack Invest,fintech,signup,trust,25-34,iOS,2026-01-07,2026-03-13,2324,ROAS,66,Europe
20141,1033,NomadLayer,NomadLayer Travel,travel,booking,destination,45-54,iOS,2026-01-01,2026-02-16,3546,ROAS,47,North America
20142,1034,PlateSprint,PlateSprint Go,food_delivery,order,combo,45-54,Android,2026-01-17,2026-03-09,2475,ROAS,52,LATAM
20143,1035,StarVault,StarVault Play,entertainment,install,celebrity,45-54,Android,2026-01-05,2026-03-01,2012,ROAS,56,Europe
20144,1000,PixelForge,PixelForge Legends,gaming,install,fantasy,25-34,iOS,2026-01-09,2026-03-07,1929,ROAS,58,LATAM
20145,1001,VantaStyle,VantaStyle Shop,ecommerce,purchase,testimonial,18-24,Android,2026-01-16,2026-03-14,2489,CPA,58,North America
20146,1002,EarnPath,EarnPath Saver,fintech,signup,testimonial,35-44,Android,2026-01-05,2026-03-06,2708,CTR,61,APAC
20147,1003,CloudRoute,CloudRoute Getaway,travel,booking,destination,25-34,Both,2026-01-19,2026-03-08,2234,IPM,49,Europe
20148,1004,SnapMeal,SnapMeal Express,food_delivery,order,discount,35-44,iOS,2026-01-18,2026-03-28,2701,IPM,70,Europe
20149,1005,MoonScreen,MoonScreen Box,entertainment,signup,trailer,35-44,Both,2026-01-18,2026-03-06,1741,ROAS,48,Europe
20150,1006,NeonArena,NeonArena Saga,gaming,install,fantasy,45-54,iOS,2026-01-05,2026-03-12,2996,IPM,67,LATAM
20151,1007,ThreadMark,ThreadMark Club,ecommerce,purchase,testimonial,45-54,Android,2026-01-10,2026-03-21,1591,CPA,71,Europe
20152,1008,CoinBridge,CoinBridge Pay,fintech,signup,minimalist,18-24,Both,2026-01-01,2026-03-05,2785,CPA,64,North America
20153,1009,DriftPass,DriftPass Trips,travel,booking,discount,25-34,iOS,2026-01-14,2026-03-19,3804,CPA,65,Europe
20154,1010,BiteRush,BiteRush Delivery,food_delivery,order,combo,35-44,iOS,2026-01-11,2026-03-09,4368,CTR,58,Europe
20155,1011,FluxStream,FluxStream Now,entertainment,signup,ugc,25-34,iOS,2026-01-17,2026-03-13,5431,ROAS,56,APAC
20156,1012,VoxelRealm,VoxelRealm Quest,gaming,install,gameplay,45-54,iOS,2026-01-02,2026-02-27,1729,CTR,57,APAC
20157,1013,BoltCart,BoltCart Club,ecommerce,purchase,discount,45-54,Android,2026-01-17,2026-03-31,3887,IPM,74,Europe
20158,1014,VaultRun,VaultRun Pay,fintech,signup,feature-focus,25-34,Both,2026-01-04,2026-03-10,4546,CTR,66,North America
20159,1015,HorizonHop,HorizonHop Escapes,travel,booking,wanderlust,45-54,Android,2026-01-10,2026-02-28,4201,CTR,50,Europe
20160,1016,FreshDash,FreshDash Eats,food_delivery,order,combo,45-54,iOS,2026-01-19,2026-03-26,2153,ROAS,67,APAC
20161,1017,PulsePlay,PulsePlay Play,entertainment,install,drama,18-24,Both,2026-01-18,2026-03-06,3443,ROAS,48,Europe
20162,1018,StormByte,StormByte Arena,gaming,install,gameplay,18-24,iOS,2026-01-03,2026-02-22,5715,IPM,51,Europe
20163,1019,ZenDrop,ZenDrop Store,ecommerce,purchase,ugc,18-24,iOS,2026-01-05,2026-03-13,1765,CPA,68,North America
20164,1020,NovaPay,NovaPay Wallet,fintech,signup,minimalist,18-24,Both,2026-01-01,2026-03-14,3521,ROAS,73,Europe
20165,1021,RouteBloom,RouteBloom Getaway,travel,booking,wanderlust,45-54,Both,2026-01-19,2026-03-27,4399,ROAS,68,APAC
20166,1022,CraveLoop,CraveLoop Go,food_delivery,order,combo,45-54,iOS,2026-01-16,2026-03-13,2335,CPA,57,Europe
20167,1023,NeonCast,NeonCast Now,entertainment,signup,trailer,35-44,Both,2026-01-05,2026-03-09,3655,ROAS,64,North America
20168,1024,GlitchWave,GlitchWave Rush,gaming,install,reward,18-24,Both,2026-01-15,2026-03-09,2049,CPA,54,Europe
20169,1025,LuxShelf,LuxShelf Shop,ecommerce,purchase,product-focus,35-44,Both,2026-01-19,2026-03-08,2243,ROAS,49,North America
20170,1026,ClearLedger,ClearLedger Pay,fintech,signup,feature-focus,18-24,iOS,2026-01-10,2026-03-14,2239,ROAS,64,LATAM
20171,1027,WayPoint,WayPoint Escapes,travel,booking,destination,35-44,iOS,2026-01-18,2026-03-28,3188,CTR,70,APAC
20172,1028,QuickFork,QuickFork Kitchen,food_delivery,order,food-closeup,25-34,iOS,2026-01-07,2026-02-26,2887,CTR,51,North America
20173,1029,BingeLayer,BingeLayer Play,entertainment,signup,celebrity,45-54,Both,2026-01-08,2026-02-22,4162,CPA,46,Europe
20174,1030,IronQuest,IronQuest Legends,gaming,install,gameplay,18-24,Android,2026-01-12,2026-03-05,2145,CTR,53,LATAM
20175,1031,CrispBox,CrispBox Shop,ecommerce,purchase,ugc,45-54,Both,2026-01-14,2026-03-02,2847,IPM,48,North America
20176,1032,SwiftStack,SwiftStack Wallet,fintech,signup,minimalist,35-44,Android,2026-01-02,2026-02-16,4172,ROAS,46,Europe
20177,1033,NomadLayer,NomadLayer Getaway,travel,booking,wanderlust,18-24,Both,2026-01-19,2026-03-11,3627,ROAS,52,North America
20178,1034,PlateSprint,PlateSprint Go,food_delivery,order,food-closeup,35-44,iOS,2026-01-06,2026-02-20,1875,CPA,46,LATAM
20179,1035,StarVault,StarVault Now,entertainment,signup,drama,25-34,Android,2026-01-02,2026-02-18,3762,CPA,48,Europe
